CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male,Churn_Probability,Risk_Level,CustomerId
619,42,2,0.0,1,1,1,101348.88,1,False,False,False,0.19,Low,15634602
608,41,1,83807.86,1,0,1,112542.58,0,False,True,False,0.21,Low,15647311
502,42,8,159660.8,3,1,0,113931.57,1,False,False,False,0.98,High,15619304
699,39,1,0.0,2,0,0,93826.63,0,False,False,False,0.14,Low,15701354
850,43,2,125510.82,1,1,1,79084.1,0,False,True,False,0.06,Low,15737888
645,44,8,113755.78,2,1,0,149756.71,1,False,True,True,0.67,Medium,15574012
822,50,7,0.0,2,1,1,10062.8,0,False,False,True,0.02,Low,15592531
376,29,4,115046.74,4,1,0,119346.88,1,True,False,False,0.99,High,15656148
501,44,4,142051.07,2,0,1,74940.5,0,False,False,True,0.24,Low,15792365
684,27,2,134603.88,1,1,1,71725.73,0,False,False,True,0.02,Low,15592389
528,31,6,102016.72,2,0,0,80181.12,0,False,False,True,0.04,Low,15767821
497,24,3,0.0,2,1,0,76390.01,0,False,True,True,0.0,,15737173
476,34,10,0.0,2,1,0,26260.98,0,False,False,False,0.05,Low,15632264
549,25,5,0.0,2,0,0,190857.79,0,False,False,False,0.0,,15691483
635,35,7,0.0,2,1,1,65951.65,0,False,True,False,0.09,Low,15600882
616,45,3,143129.41,2,0,1,64327.26,0,True,False,True,0.05,Low,15643966
653,58,1,132602.88,1,1,0,5097.67,1,True,False,True,0.98,High,15737452
549,24,9,0.0,2,1,1,14406.41,0,False,True,False,0.09,Low,15788218
587,45,6,0.0,1,0,0,158684.81,0,False,True,True,0.17,Low,15661507
726,24,6,0.0,2,1,1,54724.03,0,False,False,False,0.04,Low,15568982
732,41,8,0.0,2,1,1,170886.17,0,False,False,True,0.0,,15577657
636,32,8,0.0,2,1,0,138555.46,0,False,True,False,0.02,Low,15597945
510,38,4,0.0,1,1,0,118913.53,1,False,True,False,0.76,High,15699309
669,46,3,0.0,2,0,1,8487.75,0,False,False,True,0.1,Low,15725737
846,38,5,0.0,1,1,1,187616.16,0,False,False,False,0.02,Low,15625047
577,25,3,0.0,2,0,1,124508.29,0,False,False,True,0.01,Low,15738191
756,36,2,136815.64,1,1,1,170041.95,0,True,False,True,0.13,Low,15736816
571,44,9,0.0,2,0,0,38433.35,0,False,False,True,0.04,Low,15700772
574,43,3,141349.43,1,1,1,100187.43,0,True,False,False,0.12,Low,15728693
411,29,0,59697.17,2,1,1,53483.21,0,False,False,True,0.07,Low,15656300
591,39,3,0.0,3,1,0,140469.38,1,False,True,False,0.85,High,15589475
533,36,7,85311.7,1,0,1,156731.91,0,False,False,True,0.09,Low,15706552
553,41,9,110112.54,2,0,0,81898.81,0,True,False,True,0.02,Low,15750181
520,42,6,0.0,2,1,1,34410.55,0,False,True,False,0.06,Low,15659428
722,29,9,0.0,2,1,1,142033.07,0,False,True,False,0.0,,15732963
